ID,RECENT_DATE,TRANS_NUM,AVG_TRANS_AMT,TRANS_NUM_BEFORE
6025001115,20180129,76,560500,187
8260715039,20171212,0,0,0
7142857011,20180205,8,32000,12
4351023187,20180205,264,0,160
4367875519,20180210,0,0,0
4339804543,20180210,0,0,0
8530361491,20171227,2,9000,0
8200007979,20171201,1,5000,0
4356657043,20180210,0,0,0
4339804603,20180210,0,0,0
4362274403,20180104,21,276087,48
7412501091,20171129,0,0,0
4373502223,20180125,0,0,0
5900002347,20180209,7316,0,9504
6025008159,20180129,21,0,18
8260722143,20171212,0,0,0
6025008099,20180125,0,0,0
4367883683,20180126,0,0,0
8705099907,20180211,0,0,0
8530360455,20180209,0,0,0
4356653395,20171227,0,0,2
6294645267,20171204,0,0,0
4336181291,20180125,0,0,0
8260725539,20171123,0,0,0
8260724419,20171126,0,0,0
8530358143,20171217,0,0,0
4373503487,20180109,0,0,732
5485715039,20171202,0,0,0
6603572043,20180125,0,0,0
5216080183,20180125,0,0,0
4373473287,20180125,0,0,0
4830362691,20171123,0,0,0
4339770755,20180210,0,0,0
5216080135,20180129,27,0,27
4351003475,20180109,8,160000,20
4334152215,20180112,58,550030.095,64
5216079075,20171127,0,0,0
6603574379,20180129,0,0,0
7721431335,20180129,36,0,15
7721431395,20171229,4,0,8
5216083579,20180125,0,0,0
4339773211,20180210,0,0,0
5485717327,20180117,96,619040,60
4351006847,20180129,215,0,264
4351006883,20180127,48,0,126
4362241771,20180125,0,0,0
5485716195,20180210,0,0,0
8498216287,20171230,1,1000,0
4362235907,20180122,0,0,0
7182155759,20171210,0,0,0
7451788387,20171212,4,0,9
8569645367,20180113,11,63383.3334,0
7451788267,20180125,0,0,0
7182154519,20180210,0,0,0
8569645295,20171207,2,60000,0
7451787243,20171218,3,0,12
4356620811,20180129,144,0,138
7182158095,20171228,2,100,0
7182157023,20171129,0,0,1
7451792819,20180209,0,0,5
4356619631,20180210,0,0,1120
8498219719,20171130,1,14977,0
8569648679,20180206,0,0,0
4367853423,20180209,0,0,24
8569647583,20180125,0,0,0
7991073259,20171119,0,0,1
7991073283,20180210,0,0,0
5485725455,20180211,0,0,0
4339781387,20171206,320,320000,624
4412807991,20171214,0,0,0
7991073199,20180129,2,0,0
7721438331,20180125,0,0,0
7721438319,20180202,0,0,0
7721437211,20180125,0,0,0
7721437223,20180125,0,0,0
7991076619,20180210,0,0,0
4412810423,20180102,0,0,0
