,ID,RECENT_DATE,TRANS_NUM,AVG_TRANS_AMT,TRANS_NUM_BEFORE
208,4356639475,20180122,0.0,0.0,74.0
209,9108935935,20180211,0.0,0.0,0.0
210,7991077811,20180202,48.0,464000.0,50.0
211,8498220851,20180125,0.0,0.0,0.0
212,8696430191,20171229,0.0,0.0,0.0
213,6873220759,20180210,0.0,0.0,0.0
214,7991077751,20171122,0.0,0.0,0.0
215,4339786987,20180126,0.0,0.0,0.0
216,7991077775,20180210,0.0,0.0,0.0
217,8260715123,20171214,0.0,0.0,0.0
218,4373494167,20171225,0.0,0.0,0.0
219,4373494203,20180125,0.0,0.0,0.0
220,4373494191,20180210,0.0,0.0,0.0
221,8260716171,20171218,2.0,2000.0,6.0
222,6873225479,20180210,0.0,0.0,0.0
223,8487512739,20171230,1.0,3000.0,0.0
224,6025001115,20180129,76.0,560500.0,187.0
225,8260715039,20171212,0.0,0.0,0.0
226,7142857011,20180205,8.0,32000.0,12.0
227,4351023187,20180205,264.0,0.0,160.0
228,4367875519,20180210,0.0,0.0,0.0
229,4339804543,20180210,0.0,0.0,0.0
230,8530361491,20171227,2.0,9000.0,0.0
231,8200007979,20171201,1.0,5000.0,0.0
232,4356657043,20180210,0.0,0.0,0.0
233,4339804603,20180210,0.0,0.0,0.0
234,4362274403,20180104,21.0,276087.0,48.0
235,7412501091,20171129,0.0,0.0,0.0
236,4373502223,20180125,0.0,0.0,0.0
237,5900002347,20180209,7316.0,0.0,9504.0
238,6025008159,20180129,21.0,0.0,18.0
239,8260722143,20171212,0.0,0.0,0.0
240,6025008099,20180125,0.0,0.0,0.0
241,4367883683,20180126,0.0,0.0,0.0
242,8705099907,20180211,0.0,0.0,0.0
243,8530360455,20180209,0.0,0.0,0.0
244,4356653395,20171227,0.0,0.0,2.0
245,6294645267,20171204,0.0,0.0,0.0
246,4336181291,20180125,0.0,0.0,0.0
247,8260725539,20171123,0.0,0.0,0.0
248,8260724419,20171126,0.0,0.0,0.0
249,8530358143,20171217,0.0,0.0,0.0
250,4373503487,20180109,0.0,0.0,732.0
251,5485715039,20171202,0.0,0.0,0.0
252,6603572043,20180125,0.0,0.0,0.0
253,5216080183,20180125,0.0,0.0,0.0
254,4373473287,20180125,0.0,0.0,0.0
255,4830362691,20171123,0.0,0.0,0.0
256,4339770755,20180210,0.0,0.0,0.0
257,5216080135,20180129,27.0,0.0,27.0
258,4351003475,20180109,8.0,160000.0,20.0
259,4334152215,20180112,58.0,550030.095,64.0
260,5216079075,20171127,0.0,0.0,0.0
261,6603574379,20180129,0.0,0.0,0.0
262,7721431335,20180129,36.0,0.0,15.0
263,7721431395,20171229,4.0,0.0,8.0
264,5216083579,20180125,0.0,0.0,0.0
265,4339773211,20180210,0.0,0.0,0.0
266,5485717327,20180117,96.0,619040.0,60.0
267,4351006847,20180129,215.0,0.0,264.0
268,4351006883,20180127,48.0,0.0,126.0
269,4362241771,20180125,0.0,0.0,0.0
270,5485716195,20180210,0.0,0.0,0.0
271,8498216287,20171230,1.0,1000.0,0.0
272,4362235907,20180122,0.0,0.0,0.0
273,7182155759,20171210,0.0,0.0,0.0
274,7451788387,20171212,4.0,0.0,9.0
275,8569645367,20180113,11.0,63383.3334,0.0
276,7451788267,20180125,0.0,0.0,0.0
277,7182154519,20180210,0.0,0.0,0.0
278,8569645295,20171207,2.0,60000.0,0.0
279,7451787243,20171218,3.0,0.0,12.0
280,4356620811,20180129,144.0,0.0,138.0
281,7182158095,20171228,2.0,100.0,0.0
282,7182157023,20171129,0.0,0.0,1.0
283,7451792819,20180209,0.0,0.0,5.0
284,4356619631,20180210,0.0,0.0,1120.0
285,8498219719,20171130,1.0,14977.0,0.0
286,8569648679,20180206,0.0,0.0,0.0
287,4367853423,20180209,0.0,0.0,24.0
288,8569647583,20180125,0.0,0.0,0.0
289,7991073259,20171119,0.0,0.0,1.0
290,7991073283,20180210,0.0,0.0,0.0
291,5485725455,20180211,0.0,0.0,0.0
292,4339781387,20171206,320.0,320000.0,624.0
293,4412807991,20171214,0.0,0.0,0.0
294,7991073199,20180129,2.0,0.0,0.0
295,7721438331,20180125,0.0,0.0,0.0
296,7721438319,20180202,0.0,0.0,0.0
297,7721437211,20180125,0.0,0.0,0.0
298,7721437223,20180125,0.0,0.0,0.0
299,7991076619,20180210,0.0,0.0,0.0
300,4412810423,20180102,0.0,0.0,0.0
301,7991076667,20180211,2736.0,2068557.6919999998,5002.0
302,4351019719,20180129,611.0,0.0,780.0
303,6873219711,20180210,0.0,0.0,0.0
